mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd
-0.12685,0.06239,-0.22401,-0.02931,0.00232,0.0018
0.07067,0.06081,-0.02712,0.16244,0.00209,0.00164
0.02886,0.0629,-0.066,0.13068,0.00212,0.00203
0.15768,0.0638,0.0567,0.25361,0.00264,0.00187
0.04648,0.06432,-0.0494,0.15698,0.00234,0.00198
-0.15635,0.06314,-0.26185,-0.06165,0.00235,0.00166
-0.10492,0.06666,-0.20991,0.0022,0.00299,0.00222
-0.14279,0.06582,-0.24281,-0.03771,0.00242,0.00176
-0.07141,0.06391,-0.17278,0.02593,0.00231,0.00191
0.10937,0.06336,-0.00178,0.19806,0.00283,0.002
-0.06543,0.06225,-0.17087,0.03135,0.00202,0.00163
-0.05414,0.06625,-0.15073,0.06033,0.00223,0.0018
0.05701,0.06369,-0.03755,0.16544,0.00242,0.00175
-0.05998,0.06531,-0.16153,0.04722,0.00232,0.00173
0.18519,0.06526,0.06793,0.27378,0.00225,0.00159
-0.11378,0.06459,-0.20911,-0.0026,0.00317,0.00227
0.05398,0.06274,-0.04769,0.14808,0.00204,0.00159
0.09253,0.0625,-0.0027,0.19067,0.0022,0.00162
0.01159,0.06223,-0.07931,0.11466,0.00251,0.00178
-0.15517,0.06224,-0.25563,-0.05664,0.00211,0.00156
-0.0802,0.06705,-0.20245,0.0153,0.00306,0.00216
-0.04214,0.06265,-0.14072,0.06158,0.00246,0.00189
-0.09197,0.06141,-0.19027,0.00546,0.00258,0.00182
-0.06406,0.05946,-0.15961,0.03187,0.00237,0.00174
-0.07056,0.06558,-0.1646,0.04087,0.00237,0.00181
-0.16675,0.06742,-0.26349,-0.05238,0.00327,0.00245
0.08404,0.06725,-0.03351,0.17766,0.00229,0.00172
-0.02529,0.06371,-0.12399,0.07074,0.00235,0.00187
0.11446,0.06652,0.00763,0.21881,0.00237,0.00181
0.01181,0.06139,-0.07349,0.12164,0.00219,0.00164
0.00345,0.06332,-0.09248,0.10986,0.00231,0.00206
0.00566,0.06273,-0.09868,0.10549,0.00209,0.00205
0.00387,0.06512,-0.10765,0.09813,0.00243,0.00216
-0.20173,0.06401,-0.30961,-0.10873,0.0027,0.00191
0.01295,0.06548,-0.08384,0.12241,0.00196,0.00212
-0.07323,0.06547,-0.17824,0.02432,0.00276,0.00214
-0.12028,0.0625,-0.21138,-0.01525,0.00237,0.00168
-0.06565,0.06135,-0.16288,0.02903,0.00253,0.00184
-0.11447,0.0637,-0.22814,-0.02379,0.00235,0.00179
0.01492,0.06131,-0.07341,0.11801,0.00251,0.00177
-0.06561,0.06576,-0.16844,0.03345,0.00242,0.00191
-0.12136,0.06247,-0.21949,-0.02631,0.00255,0.00183
0.02821,0.06102,-0.07339,0.12017,0.00233,0.00212
0.13377,0.06393,0.03369,0.23506,0.00246,0.00174
0.01463,0.06444,-0.08684,0.11941,0.00217,0.00203
0.10924,0.06461,0.01158,0.21679,0.00244,0.00179
0.21569,0.06539,0.10973,0.31816,0.00279,0.00197
0.03969,0.06364,-0.07541,0.13194,0.00274,0.00194
-0.09193,0.06322,-0.18805,0.00804,0.00271,0.00191
0.10051,0.06472,-0.00985,0.191,0.00272,0.00193
-0.06447,0.06084,-0.14732,0.04128,0.00216,0.00188
-0.12003,0.06191,-0.20906,-0.0155,0.00265,0.0019
0.05461,0.06181,-0.04825,0.14591,0.00253,0.00212
-0.00036,0.06408,-0.09675,0.10175,0.00236,0.00214
0.03885,0.06294,-0.05543,0.14033,0.00206,0.00179
-0.10001,0.06489,-0.21032,-0.00339,0.00201,0.00157
0.15337,0.06516,0.0424,0.25015,0.00247,0.00176
0.07151,0.06457,-0.02898,0.17301,0.00278,0.00196
0.10158,0.06308,-0.01069,0.19621,0.00232,0.00166
0.01955,0.06087,-0.08609,0.10988,0.00235,0.00168
0.0324,0.07026,-0.08263,0.1424,0.00234,0.00217
0.14452,0.06628,0.04008,0.24555,0.00212,0.00158
0.06558,0.06422,-0.03114,0.16898,0.00244,0.00178
0.00007,0.06239,-0.09524,0.0986,0.00247,0.00175
0.10454,0.06302,0.00933,0.2005,0.0027,0.00197
0.05559,0.06392,-0.0477,0.15428,0.00187,0.00157
0.03847,0.06521,-0.06374,0.14153,0.0029,0.00213
-0.25408,0.06319,-0.34345,-0.14106,0.00269,0.00197
-0.0218,0.06232,-0.12183,0.07224,0.00224,0.00179
0.03608,0.06267,-0.06635,0.13624,0.00224,0.00187
-0.0922,0.06402,-0.18806,0.017,0.00311,0.00224
0.11946,0.06283,0.01189,0.20781,0.00265,0.00187
0.11283,0.06488,0.00607,0.21107,0.00333,0.00235
0.05729,0.06234,-0.02906,0.16565,0.00216,0.00157
0.05428,0.06337,-0.04297,0.15736,0.00254,0.00187
0.02377,0.06648,-0.08265,0.1334,0.00251,0.0024
-0.11795,0.0638,-0.22665,-0.02362,0.00209,0.00157
-0.19142,0.06446,-0.28087,-0.08495,0.00229,0.00178
-0.16522,0.06212,-0.25401,-0.05526,0.002,0.00142
-0.06995,0.06219,-0.1654,0.03094,0.00229,0.00178
-0.18745,0.06229,-0.28835,-0.08947,0.00294,0.00214
-0.04573,0.06436,-0.14278,0.06214,0.00214,0.00176
-0.11929,0.06295,-0.22063,-0.02245,0.00226,0.00161
0.05614,0.06406,-0.04186,0.15781,0.00273,0.00193
0.15806,0.06213,0.05551,0.2514,0.0022,0.00156
0.03066,0.06801,-0.07405,0.14502,0.00225,0.00212
-0.17077,0.0629,-0.26745,-0.0731,0.00307,0.00217
0.08149,0.06527,-0.01947,0.18801,0.00288,0.00207
-0.09355,0.06483,-0.20078,0.00604,0.00255,0.00186
0.08933,0.06389,-0.0162,0.18962,0.00207,0.00165
-0.05958,0.06188,-0.15662,0.03839,0.00203,0.00175
0.16144,0.06568,0.05687,0.26456,0.00244,0.00193
0.03983,0.06431,-0.06166,0.14007,0.00263,0.00186
-0.0486,0.06356,-0.14974,0.05154,0.00274,0.00194
0.07488,0.06359,-0.03685,0.16522,0.0025,0.00177
-0.01262,0.06429,-0.11335,0.08671,0.00242,0.00199
-0.04533,0.06143,-0.15001,0.04372,0.00239,0.00206
-0.1133,0.06201,-0.20292,-0.00902,0.00219,0.00155
0.02272,0.06362,-0.08114,0.12172,0.00213,0.002
-0.08604,0.06279,-0.19227,0.00554,0.00266,0.00201
0.06462,0.06369,-0.03026,0.1727,0.00245,0.00189
0.09577,0.0639,-0.00172,0.20307,0.00268,0.00194
-0.11284,0.06413,-0.22127,-0.02028,0.00206,0.00167
0.11867,0.06599,0.02486,0.23564,0.00229,0.00166
0.10592,0.06537,-0.00893,0.19273,0.00255,0.00181
-0.04606,0.06521,-0.13914,0.05882,0.00216,0.00171
0.09416,0.06659,-0.00423,0.20746,0.00221,0.00156
0.05441,0.06467,-0.04518,0.16278,0.00264,0.0019
-0.14528,0.06283,-0.23755,-0.04066,0.00227,0.0017
-0.13856,0.05945,-0.23608,-0.04687,0.00199,0.00147
-0.09838,0.0637,-0.18995,0.01012,0.00212,0.00174
-0.16279,0.06174,-0.25887,-0.06463,0.00301,0.00213
0.029,0.06582,-0.07715,0.12735,0.00231,0.00177
-0.1867,0.06701,-0.29845,-0.08533,0.00313,0.00221
0.0463,0.06446,-0.06959,0.13677,0.00237,0.0019
-0.20371,0.06595,-0.31059,-0.10479,0.00239,0.0017
0.22075,0.06424,0.11287,0.31769,0.00285,0.00202
0.07867,0.06569,-0.02337,0.18312,0.00239,0.00184
-0.05296,0.0627,-0.14987,0.04796,0.0021,0.0019
-0.08066,0.06425,-0.19275,0.01413,0.00279,0.00214
0.0313,0.06332,-0.06905,0.13202,0.00208,0.002
0.05158,0.06318,-0.05259,0.15237,0.00285,0.00201
0.18017,0.06405,0.06481,0.2722,0.00261,0.00185
-0.03859,0.06673,-0.14556,0.06271,0.00268,0.00225
0.25679,0.06624,0.1562,0.36554,0.00165,0.00117
-0.01512,0.06096,-0.10958,0.08583,0.00259,0.00183
-0.09541,0.06379,-0.18457,0.01516,0.00258,0.00183
0.17969,0.06622,0.07231,0.28099,0.00336,0.00238
0.07033,0.06369,-0.02998,0.17357,0.0023,0.00178
0.17055,0.06107,0.06092,0.25751,0.00202,0.00143
-0.22588,0.06772,-0.32564,-0.11505,0.00298,0.00212
-0.25286,0.06255,-0.35012,-0.15136,0.00243,0.00172
-0.00523,0.06244,-0.10408,0.08849,0.00249,0.00212
0.05052,0.06348,-0.04361,0.15547,0.00223,0.00188
-0.01936,0.06112,-0.11053,0.08304,0.00262,0.00185
-0.03623,0.06299,-0.13652,0.06102,0.00257,0.00197
-0.04005,0.06367,-0.14091,0.05958,0.00236,0.00186
0.0283,0.0623,-0.05964,0.13638,0.00286,0.00208
0.08251,0.0618,-0.01474,0.18108,0.00256,0.00193
-0.09422,0.06463,-0.20627,0.00057,0.00204,0.00157
-0.00662,0.06119,-0.10394,0.09033,0.0023,0.00189
-0.11222,0.06393,-0.21697,-0.01841,0.00217,0.00153
0.1411,0.06342,0.02907,0.23543,0.00198,0.00143
-0.06643,0.06593,-0.15854,0.04477,0.00251,0.00213
-0.0908,0.06366,-0.20161,0.0033,0.00261,0.00185
0.04423,0.06974,-0.07411,0.14592,0.00247,0.00206
0.0189,0.06292,-0.08559,0.11138,0.00277,0.00196
-0.17803,0.06499,-0.28133,-0.07258,0.00271,0.00194
0.01822,0.06405,-0.07883,0.12704,0.00254,0.00186
0.10222,0.06301,0.00415,0.20178,0.00224,0.00168
-0.05821,0.06183,-0.15994,0.03155,0.00224,0.00177
0.07244,0.06496,-0.0214,0.18408,0.0022,0.00158
0.06811,0.06712,-0.03932,0.17344,0.00338,0.00239
0.04799,0.0642,-0.05505,0.15289,0.00225,0.00173
0.07778,0.06354,-0.01999,0.18454,0.00212,0.0016
-0.14084,0.06603,-0.24119,-0.03309,0.00264,0.00193
-0.08666,0.06521,-0.19171,0.0173,0.00221,0.00157
0.03781,0.06559,-0.0654,0.13496,0.00202,0.00174
-0.10499,0.06333,-0.20776,-0.00612,0.00237,0.00172
0.08114,0.06118,-0.0201,0.1729,0.00239,0.00182
0.08633,0.0608,-0.00219,0.18106,0.00224,0.00173
-0.03079,0.06141,-0.12835,0.06622,0.00204,0.0017
0.15892,0.0631,0.05874,0.25629,0.00215,0.0016
-0.04231,0.06303,-0.14682,0.05517,0.00203,0.00199
0.19565,0.06261,0.09966,0.29543,0.00265,0.00192
-0.0615,0.06654,-0.16663,0.04397,0.00249,0.00187
-0.14858,0.06395,-0.24871,-0.04592,0.00252,0.00184
-0.18414,0.06364,-0.27818,-0.07731,0.00223,0.00157
0.00742,0.05995,-0.09236,0.09525,0.0021,0.00172
0.16152,0.06571,0.0616,0.27407,0.00262,0.00185
-0.08824,0.05935,-0.17907,0.00752,0.00212,0.00164
-0.19925,0.07095,-0.3096,-0.08724,0.00382,0.00275
-0.07118,0.06101,-0.17296,0.01813,0.0022,0.00167
-0.06145,0.0643,-0.16935,0.03205,0.00241,0.00209
-0.07643,0.06384,-0.18782,0.01345,0.0024,0.00179
-0.00576,0.06451,-0.11003,0.09412,0.0027,0.00195
-0.04517,0.06554,-0.14393,0.06292,0.00234,0.00182
-0.0346,0.06188,-0.14301,0.05673,0.00219,0.00192
0.01887,0.0612,-0.07708,0.11396,0.00208,0.00194
-0.02975,0.06093,-0.12455,0.07067,0.00247,0.00186
0.0817,0.06293,-0.01043,0.1943,0.00243,0.00173
-0.10457,0.06538,-0.22349,-0.01392,0.00231,0.00174
0.06787,0.06448,-0.03843,0.16556,0.00209,0.00175
0.01828,0.06374,-0.07588,0.12675,0.00296,0.0021
-0.07842,0.06342,-0.17122,0.02959,0.00305,0.00216
-0.11575,0.06381,-0.22028,-0.02287,0.0028,0.00202
-0.03101,0.06483,-0.12437,0.07645,0.00214,0.00193
0.0699,0.06911,-0.04321,0.17134,0.00278,0.00209
-0.09473,0.06524,-0.19714,0.01174,0.00303,0.00215
0.1558,0.06419,0.04601,0.25279,0.00253,0.00181
-0.18372,0.06229,-0.2811,-0.08699,0.0022,0.00165
-0.08012,0.06036,-0.17243,0.01399,0.00201,0.00156
-0.0667,0.06509,-0.16376,0.03934,0.00236,0.00188
0.08114,0.0616,-0.01135,0.17848,0.00194,0.00145
-0.04756,0.06388,-0.15433,0.04748,0.0021,0.002
0.24899,0.06243,0.14883,0.34749,0.00255,0.0018
-0.04442,0.06337,-0.13404,0.0696,0.00239,0.00192
0.12571,0.06286,0.0292,0.2259,0.00269,0.0019
0.02999,0.0654,-0.06729,0.14289,0.00331,0.00243
-0.02952,0.05904,-0.12144,0.06451,0.00219,0.00155
0.03524,0.06642,-0.06099,0.14227,0.00223,0.00181
0.21817,0.06682,0.12752,0.33439,0.00263,0.00186
-0.03324,0.06308,-0.13041,0.07357,0.0023,0.00185
0.04999,0.06658,-0.06087,0.1456,0.0027,0.00198
0.01837,0.06265,-0.06692,0.13267,0.00211,0.00194
-0.04352,0.0638,-0.14245,0.06013,0.00245,0.00189
-0.07848,0.06208,-0.17696,0.01664,0.00226,0.00162
-0.07687,0.06501,-0.17585,0.02714,0.00229,0.00181
0.16349,0.06411,0.0597,0.26349,0.00292,0.00214
-0.15255,0.06138,-0.24879,-0.05455,0.00218,0.00157
-0.02341,0.06528,-0.11694,0.08863,0.00277,0.00239
0.1093,0.06207,0.00928,0.20633,0.00238,0.00169
0.03615,0.06178,-0.05036,0.14582,0.00234,0.00184
0.21288,0.06478,0.10855,0.31037,0.00237,0.00171
-0.04865,0.06232,-0.14531,0.05466,0.00255,0.0018
0.02132,0.06261,-0.08532,0.11025,0.00227,0.00164
-0.0607,0.06356,-0.15406,0.04735,0.0023,0.00194
-0.00361,0.06411,-0.09701,0.10667,0.00173,0.00287
-0.09612,0.06551,-0.19695,0.00766,0.00252,0.00193
0.1639,0.06234,0.0658,0.26721,0.00241,0.0018
-0.03136,0.06359,-0.13958,0.05995,0.00222,0.00188
-0.10454,0.05883,-0.18941,-0.00233,0.0022,0.00156
0.12429,0.06072,0.03499,0.22925,0.00211,0.00149
-0.09197,0.06191,-0.19377,0.00538,0.00248,0.00175
0.12028,0.06413,0.01138,0.21681,0.00266,0.00195
-0.07985,0.06317,-0.18252,0.02156,0.00228,0.00174
0.0944,0.06577,-0.0089,0.19268,0.00325,0.0023
0.07322,0.0645,-0.03039,0.17292,0.00257,0.00184
-0.08668,0.06044,-0.18898,0.00308,0.00232,0.00171
0.132,0.06274,0.02973,0.22683,0.00194,0.00139
0.11886,0.06164,0.02422,0.21766,0.00224,0.00167
-0.06341,0.06479,-0.17032,0.03835,0.00278,0.00207
-0.09162,0.06317,-0.18288,0.01789,0.00253,0.00189
-0.03954,0.06044,-0.1333,0.05423,0.00198,0.00174
-0.07713,0.06335,-0.17909,0.02318,0.00201,0.0016
-0.06408,0.06721,-0.17329,0.03735,0.00256,0.00182
-0.10231,0.06137,-0.20148,-0.00583,0.00243,0.00186
0.04467,0.06301,-0.0567,0.14592,0.00201,0.00173
0.1126,0.06425,0.01304,0.21282,0.00396,0.0028
-0.00321,0.06547,-0.10626,0.09859,0.0031,0.00219
0.13168,0.06136,0.03957,0.2389,0.00236,0.00177
0.03111,0.06337,-0.07358,0.12834,0.00222,0.00184
-0.01614,0.06613,-0.12345,0.08508,0.00276,0.00207
0.06006,0.06222,-0.0318,0.16031,0.00239,0.00169
0.1548,0.06105,0.05263,0.24586,0.00275,0.00195
-0.11206,0.05768,-0.19872,-0.01496,0.002,0.00143
0.11141,0.06214,0.00419,0.19959,0.00189,0.00152
-0.17534,0.06272,-0.2734,-0.07967,0.00222,0.00168
0.25109,0.05985,0.1701,0.35711,0.00239,0.00177
0.02805,0.06193,-0.06659,0.12542,0.0029,0.00205
0.04854,0.06612,-0.0494,0.16047,0.00265,0.002
-0.00163,0.05983,-0.09943,0.08969,0.00216,0.00181
0.08339,0.0642,-0.02428,0.17557,0.00252,0.00184
0.01968,0.06338,-0.07863,0.11999,0.00235,0.00197
0.10661,0.0629,0.0094,0.21105,0.00239,0.0017
0.18434,0.06232,0.09572,0.29235,0.00247,0.00176
0.08235,0.06136,-0.01631,0.17991,0.00202,0.00166
0.03003,0.06335,-0.07104,0.12801,0.00256,0.00181
-0.18072,0.06124,-0.28055,-0.09169,0.00234,0.00169
-0.00814,0.06242,-0.11174,0.08203,0.00217,0.00204
-0.0103,0.06321,-0.10832,0.08794,0.00215,0.0018
-0.12816,0.06235,-0.22637,-0.03042,0.00221,0.00171
-0.04515,0.06614,-0.14214,0.06423,0.00246,0.00235
-0.15787,0.06242,-0.25307,-0.05713,0.00212,0.00153
-0.124,0.06325,-0.21589,-0.01239,0.00225,0.00162
0.1435,0.06348,0.03727,0.24195,0.00215,0.00152
0.14891,0.06513,0.04412,0.25117,0.00219,0.00157
0.00874,0.06431,-0.08451,0.12056,0.00213,0.00209
0.10875,0.06515,0.01262,0.22054,0.00182,0.00147
0.06289,0.06172,-0.0337,0.15868,0.00195,0.0015
-0.09728,0.06309,-0.19461,0.00243,0.00213,0.00164
0.05256,0.06438,-0.05931,0.1466,0.00258,0.00203
-0.01607,0.06269,-0.10887,0.08494,0.00284,0.00218
-0.24684,0.0616,-0.33385,-0.14051,0.00201,0.00145
0.01816,0.06579,-0.0828,0.1222,0.00317,0.0025
-0.19891,0.0628,-0.30319,-0.10473,0.00201,0.00146
-0.02816,0.06329,-0.12992,0.07066,0.00224,0.0018
0.12864,0.0633,0.02995,0.22965,0.00222,0.00159
-0.13271,0.06434,-0.2402,-0.03425,0.0023,0.00175
-0.08503,0.06401,-0.18108,0.01936,0.00228,0.00187
0.03596,0.06321,-0.06294,0.13773,0.00309,0.00219
0.12231,0.0621,0.02543,0.22109,0.00318,0.00234
0.08922,0.06123,-0.01448,0.17681,0.00198,0.00171
0.09332,0.0627,-0.00878,0.19161,0.00209,0.00153
-0.0604,0.06427,-0.1593,0.04025,0.00236,0.00187
-0.07434,0.06767,-0.17723,0.03927,0.00229,0.00186
0.10269,0.06771,0.00107,0.215,0.00271,0.00204
-0.02855,0.06504,-0.12366,0.09085,0.00221,0.00262
0.18011,0.06569,0.08242,0.28615,0.00249,0.00176
-0.11708,0.06353,-0.23401,-0.02875,0.00243,0.0019
0.2249,0.06415,0.1244,0.32093,0.00256,0.00181
-0.07455,0.06266,-0.16202,0.03877,0.00223,0.00158
-0.00686,0.0645,-0.10538,0.09785,0.00277,0.00201
-0.03751,0.06146,-0.13488,0.06874,0.00245,0.00177
0.12579,0.0658,0.02328,0.23555,0.00301,0.00213
0.04818,0.0629,-0.0576,0.1413,0.00213,0.00178
-0.07605,0.06416,-0.17576,0.02915,0.00285,0.00201
-0.00235,0.05966,-0.09466,0.09036,0.00238,0.00187
-0.02966,0.06154,-0.12233,0.07337,0.00259,0.00197
-0.01924,0.05994,-0.10502,0.07853,0.0028,0.00221
-0.19315,0.06342,-0.29608,-0.09801,0.00252,0.00178
