mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd
-0.03035,0.06966,-0.14937,0.07364,0.00237,0.00183
-0.02039,0.0653,-0.11367,0.09361,0.00216,0.00182
0.05041,0.06385,-0.05029,0.14669,0.00198,0.00224
-0.01552,0.06544,-0.12081,0.08603,0.00229,0.00197
0.07557,0.0618,-0.02623,0.16725,0.00227,0.0016
-0.04885,0.06481,-0.15808,0.04817,0.0024,0.00179
-0.06233,0.06408,-0.17088,0.03176,0.00149,0.00162
0.05583,0.06834,-0.05021,0.16709,0.00242,0.00183
0.15841,0.06079,0.05921,0.24767,0.00226,0.0016
-0.05216,0.0651,-0.15919,0.04601,0.00173,0.00186
-0.02614,0.06799,-0.12838,0.08357,0.00226,0.00183
-0.01563,0.06589,-0.12039,0.09287,0.00155,0.0023
0.10188,0.06835,-0.00042,0.21724,0.00166,0.00172
-0.00169,0.06655,-0.10709,0.10563,0.00175,0.00245
0.02169,0.06381,-0.07866,0.12009,0.00198,0.00175
-0.06481,0.06492,-0.15873,0.04781,0.00205,0.00154
0.05281,0.06965,-0.05635,0.16815,0.00202,0.00193
-0.1369,0.06619,-0.24133,-0.03166,0.00216,0.0016
0.05754,0.06496,-0.04493,0.15862,0.00198,0.00152
-0.01867,0.06196,-0.12062,0.07569,0.00208,0.00194
-0.07751,0.0645,-0.17198,0.02653,0.00203,0.00163
0.02009,0.06463,-0.07178,0.13051,0.00166,0.00243
0.04066,0.06435,-0.06324,0.14356,0.00221,0.00171
-0.02013,0.06663,-0.13097,0.07572,0.0022,0.00213
-0.0214,0.06309,-0.11975,0.07574,0.00154,0.00182
0.0939,0.07167,-0.01843,0.20839,0.0019,0.00152
-0.02808,0.06525,-0.13256,0.07008,0.00181,0.00204
-0.09329,0.06285,-0.19082,0.00646,0.00167,0.00134
0.1221,0.06196,0.01664,0.20995,0.0015,0.00118
0.01238,0.06408,-0.08764,0.10978,0.00195,0.00217
0.0229,0.06166,-0.07138,0.1259,0.00173,0.00206
-0.01553,0.06583,-0.1159,0.09311,0.00178,0.00208
0.06228,0.06535,-0.04073,0.16061,0.00203,0.00186
-0.03584,0.06403,-0.13466,0.07318,0.00144,0.00182
0.0475,0.06795,-0.06116,0.15249,0.00222,0.00183
-0.01991,0.06713,-0.14076,0.07167,0.00211,0.00208
-0.02483,0.06415,-0.12132,0.08654,0.00185,0.00191
-0.08078,0.06547,-0.18084,0.02201,0.0022,0.00163
-0.00885,0.06595,-0.12474,0.08108,0.00215,0.00208
0.01308,0.06386,-0.08098,0.11377,0.00164,0.00205
0.10341,0.06185,0.00457,0.19699,0.00147,0.00117
-0.01355,0.06896,-0.11944,0.09046,0.00171,0.00289
0.02527,0.06527,-0.06975,0.13734,0.00221,0.00191
0.11436,0.06604,0.01031,0.21841,0.00171,0.00132
0.02417,0.06247,-0.07366,0.12594,0.00138,0.00211
0.01629,0.06872,-0.08794,0.13113,0.00235,0.00183
-0.03977,0.06516,-0.14976,0.05528,0.0017,0.00185
-0.06324,0.0626,-0.16804,0.0269,0.00168,0.00151
-0.00896,0.06957,-0.12128,0.09674,0.00154,0.00275
-0.07685,0.06459,-0.17639,0.02671,0.00217,0.0017
0.09562,0.06104,-0.00747,0.18998,0.00149,0.0013
0.02949,0.06564,-0.0817,0.12661,0.00179,0.00179
-0.01115,0.06587,-0.10516,0.10198,0.00194,0.00198
-0.08893,0.06412,-0.19098,0.00917,0.00239,0.0018
0.15214,0.06191,0.06392,0.26346,0.00133,0.0012
