mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd
0.01187,0.0647,-0.09745,0.10775,0.00237,0.00194
0.0479,0.06473,-0.04606,0.16172,0.00252,0.00191
-0.0639,0.06702,-0.16198,0.04845,0.00252,0.00189
-0.0777,0.06697,-0.18292,0.02651,0.00246,0.00197
0.12829,0.06533,0.02063,0.22578,0.00243,0.00181
0.02017,0.06821,-0.08679,0.12908,0.00249,0.00216
-0.15822,0.06599,-0.25073,-0.03815,0.00265,0.00191
-0.15506,0.06447,-0.25889,-0.05323,0.00263,0.00191
-0.19114,0.06468,-0.29998,-0.09224,0.0026,0.00185
0.02341,0.06515,-0.08117,0.13171,0.00269,0.00203
-0.06492,0.06352,-0.17398,0.02798,0.00224,0.00169
-0.03863,0.06054,-0.13353,0.05373,0.00269,0.00204
0.04894,0.06434,-0.05747,0.14509,0.00255,0.00181
0.02281,0.06328,-0.08067,0.11974,0.00248,0.00175
0.02791,0.06214,-0.06936,0.12547,0.0026,0.00245
-0.06503,0.06703,-0.16854,0.04199,0.00272,0.00209
-0.04525,0.06226,-0.12908,0.07055,0.00203,0.00168
0.02209,0.06487,-0.07237,0.13387,0.00225,0.00215
0.01123,0.06792,-0.0966,0.11925,0.00216,0.00205
0.03705,0.06069,-0.05768,0.13262,0.00188,0.00177
-0.02207,0.06558,-0.12585,0.08029,0.00208,0.00235
-0.11645,0.06618,-0.22286,-0.01569,0.00295,0.00233
-0.0819,0.06498,-0.19189,0.01287,0.0021,0.00182
0.1877,0.06445,0.08313,0.2903,0.00197,0.00141
-0.10382,0.06516,-0.20011,0.00901,0.00317,0.00224
0.01615,0.06628,-0.09119,0.12058,0.00233,0.00199
0.05293,0.06254,-0.04349,0.15308,0.00227,0.00185
0.09347,0.06318,0.00308,0.21036,0.00259,0.0019
0.03049,0.06639,-0.07372,0.13249,0.00247,0.0019
0.07561,0.0646,-0.03255,0.17374,0.00242,0.00174
0.0237,0.06255,-0.08437,0.11031,0.0023,0.00191
0.01833,0.06302,-0.09125,0.10871,0.00271,0.00209
-0.19644,0.05817,-0.27962,-0.09496,0.00248,0.00176
-0.14583,0.06819,-0.24662,-0.03524,0.00273,0.00193
0.04849,0.06184,-0.05182,0.14354,0.00208,0.00166
0.19182,0.06183,0.08554,0.28472,0.00236,0.00167
0.01024,0.06477,-0.09754,0.106,0.00242,0.00215
-0.10512,0.06184,-0.19965,-0.00605,0.00253,0.00179
-0.01959,0.06474,-0.13319,0.07665,0.00289,0.00204
-0.00495,0.06403,-0.10526,0.09452,0.00211,0.00173
-0.1346,0.06766,-0.24501,-0.02778,0.00309,0.00228
0.23083,0.06462,0.12249,0.32881,0.00259,0.00183
0.00695,0.06521,-0.08673,0.11874,0.00248,0.00187
-0.02666,0.065,-0.13551,0.06984,0.00285,0.00229
0.05468,0.06201,-0.047,0.15018,0.00209,0.00158
0.06435,0.06451,-0.03536,0.16926,0.00275,0.00197
0.15816,0.06485,0.06666,0.27152,0.00214,0.00152
-0.01635,0.06068,-0.10685,0.07927,0.00275,0.00195
-0.09966,0.06059,-0.19787,-0.00437,0.00217,0.0017
0.03826,0.06444,-0.06354,0.13454,0.00251,0.00184
0.10775,0.06153,0.01096,0.20475,0.00219,0.0017
-0.24046,0.06162,-0.33699,-0.14349,0.00178,0.00126
0.05606,0.06529,-0.0342,0.17121,0.00259,0.00204
-0.01301,0.06411,-0.11299,0.08561,0.00258,0.00211
0.03808,0.0594,-0.05712,0.13001,0.00235,0.0018
-0.02389,0.06374,-0.12927,0.07647,0.00225,0.00187
-0.0731,0.06192,-0.17459,0.0189,0.00238,0.00177
0.12311,0.06246,0.02108,0.21977,0.00272,0.00192
0.13364,0.06201,0.03884,0.23362,0.00233,0.00166
0.05132,0.06528,-0.05994,0.14521,0.00226,0.0018
-0.10389,0.06085,-0.19919,-0.00353,0.0022,0.00156
-0.0794,0.06546,-0.17363,0.03225,0.0023,0.00184
0.01975,0.06443,-0.07588,0.13009,0.00265,0.00192
0.22552,0.06566,0.11848,0.33087,0.00219,0.00157
-0.00691,0.06212,-0.10094,0.08749,0.00186,0.00181
-0.03697,0.06203,-0.13149,0.06567,0.0034,0.00247
0.09895,0.0654,-0.00848,0.19621,0.00257,0.00183
-0.08968,0.06239,-0.19128,0.00857,0.00188,0.00163
0.05333,0.06603,-0.05809,0.15177,0.00246,0.0023
0.05878,0.06679,-0.04589,0.16103,0.00307,0.00225
0.00963,0.06311,-0.08557,0.11152,0.00224,0.00238
-0.08944,0.06387,-0.19238,0.00687,0.00299,0.00212
-0.07599,0.0655,-0.19595,0.0137,0.00338,0.00243
0.16622,0.06422,0.05765,0.26211,0.00258,0.00182
0.03283,0.0645,-0.06679,0.13793,0.0027,0.00195
0.14695,0.06196,0.04814,0.24792,0.00196,0.00143
0.05975,0.06253,-0.03596,0.16546,0.00197,0.00158
0.04911,0.0588,-0.03562,0.14976,0.0019,0.00158
0.18404,0.06436,0.09013,0.29151,0.00243,0.00172
-0.21582,0.06339,-0.31046,-0.11727,0.00312,0.00225
-0.05443,0.06354,-0.14381,0.05738,0.003,0.00212
-0.06605,0.06439,-0.15999,0.04413,0.00279,0.00222
-0.11479,0.06323,-0.20772,-0.0042,0.00257,0.00182
-0.05895,0.06564,-0.16385,0.04203,0.00309,0.00236
0.04603,0.06519,-0.05353,0.14802,0.00319,0.00226
0.04104,0.06588,-0.06108,0.14524,0.00296,0.00216
-0.13182,0.06409,-0.24007,-0.03581,0.00214,0.0016
-0.02951,0.06506,-0.13521,0.07032,0.0027,0.00194
-0.03744,0.06416,-0.13068,0.06357,0.00259,0.00233
-0.0562,0.0608,-0.16162,0.03056,0.00293,0.00207
-0.01924,0.06088,-0.11536,0.07877,0.00224,0.00163
0.07197,0.06043,-0.00918,0.17833,0.00223,0.00158
0.00715,0.06158,-0.09357,0.10014,0.00211,0.00185
-0.19847,0.06413,-0.30153,-0.0959,0.00236,0.00171
0.05127,0.06688,-0.05279,0.15841,0.00262,0.00186
0.02608,0.06466,-0.07889,0.12397,0.00248,0.00209
0.10513,0.06338,0.008,0.20985,0.00235,0.0017
-0.14333,0.06653,-0.25722,-0.04429,0.00305,0.00222
-0.05905,0.06265,-0.16417,0.03449,0.00208,0.00162
-0.00045,0.06443,-0.09877,0.10411,0.00235,0.00204
-0.03114,0.06116,-0.12719,0.06207,0.00252,0.00239
-0.2462,0.06067,-0.35856,-0.16051,0.0022,0.0016
0.09622,0.06547,-0.01332,0.19389,0.00202,0.00151
0.03825,0.06405,-0.05599,0.14871,0.0023,0.00169
0.15852,0.06356,0.06481,0.26005,0.00314,0.00226
0.07531,0.06509,-0.02381,0.18053,0.00245,0.00195
0.03234,0.06416,-0.06583,0.1303,0.00274,0.00194
0.09219,0.06662,-0.01808,0.19052,0.00295,0.00209
0.03557,0.06199,-0.06005,0.13223,0.00263,0.00219
-0.21174,0.06495,-0.30873,-0.10025,0.00225,0.00163
-0.00603,0.06771,-0.1092,0.10769,0.0034,0.0024
0.03227,0.06159,-0.05845,0.1346,0.00181,0.00155
-0.0575,0.06194,-0.15241,0.04278,0.00219,0.00171
0.04299,0.06674,-0.05798,0.15421,0.00263,0.00186
-0.11424,0.0653,-0.2115,-0.01172,0.00241,0.00185
0.12589,0.06077,0.03453,0.22391,0.00215,0.00177
-0.15201,0.06259,-0.24656,-0.05056,0.00271,0.002
-0.05613,0.06228,-0.1488,0.04812,0.00241,0.00184
0.18765,0.06493,0.08607,0.29177,0.00178,0.00126
-0.04762,0.06284,-0.15386,0.04266,0.00256,0.00189
0.06952,0.06599,-0.02483,0.18222,0.002,0.00154
-0.05218,0.06466,-0.15569,0.04635,0.00222,0.00164
-0.16333,0.06431,-0.26126,-0.05971,0.00286,0.00204
-0.1122,0.06065,-0.20898,-0.02263,0.00225,0.00164
0.05304,0.063,-0.0419,0.15602,0.00265,0.00189
0.08948,0.06705,-0.02784,0.18701,0.00307,0.00217
0.07229,0.06518,-0.02995,0.17834,0.00245,0.00178
0.05575,0.05955,-0.03994,0.14945,0.00224,0.00161
0.14679,0.06817,0.03812,0.25094,0.00272,0.00192
-0.07658,0.05912,-0.17296,0.01534,0.00229,0.00172
-0.11527,0.06198,-0.21328,-0.01233,0.00245,0.00186
0.04701,0.06057,-0.03792,0.15357,0.0021,0.00185
0.16847,0.06389,0.07412,0.27318,0.00219,0.00158
0.08932,0.06319,-0.00397,0.19441,0.00256,0.00181
-0.02556,0.0589,-0.11591,0.07162,0.00231,0.00168
-0.00902,0.06105,-0.11048,0.07998,0.0022,0.00243
0.09971,0.06196,0.00258,0.20105,0.00218,0.00161
-0.02377,0.06354,-0.12141,0.07304,0.00232,0.00177
-0.03811,0.06345,-0.14288,0.05851,0.00296,0.00209
