mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd
-0.06578,0.01929,-0.09884,-0.03866,0.00122,0.00089
0.01781,0.01835,-0.0137,0.04368,0.00109,0.00083
0.01034,0.02171,-0.02639,0.0431,0.00114,0.00092
-0.03929,0.01994,-0.06944,-0.0058,0.00142,0.00101
0.0506,0.02026,0.0171,0.08026,0.00152,0.00112
-0.002,0.02025,-0.0339,0.03058,0.00108,0.00107
0.02514,0.01972,-0.00277,0.05957,0.00134,0.00095
-0.02267,0.01998,-0.05329,0.00721,0.00115,0.00081
-0.05405,0.02024,-0.08601,-0.02295,0.00153,0.00108
-0.07577,0.02055,-0.10657,-0.04016,0.0011,0.00078
-0.07083,0.02099,-0.10476,-0.03858,0.00182,0.00129
-0.07632,0.0202,-0.11058,-0.04692,0.00144,0.00107
-0.01799,0.01995,-0.05063,0.01204,0.0013,0.00097
-0.00748,0.01939,-0.03953,0.02184,0.00142,0.00101
-0.05768,0.02274,-0.09784,-0.02439,0.00156,0.00112
0.05678,0.01979,0.02802,0.09186,0.00123,0.00087
0.08384,0.01933,0.05605,0.11613,0.00205,0.00148
-0.12942,0.02052,-0.16075,-0.09574,0.00124,0.00088
0.02214,0.01979,-0.0098,0.05244,0.00134,0.001
-0.0424,0.02067,-0.0725,-0.00673,0.00118,0.00084
-0.0055,0.01987,-0.0373,0.02501,0.00136,0.00103
-0.01675,0.02019,-0.04881,0.0136,0.0014,0.00099
-0.04613,0.02117,-0.07909,-0.01239,0.00179,0.00127
-0.00824,0.01979,-0.03939,0.01903,0.0017,0.00135
-0.02132,0.01958,-0.05486,0.00697,0.00099,0.0008
0.10995,0.02043,0.07626,0.14005,0.00121,0.00085
0.06017,0.02022,0.02675,0.09137,0.00117,0.00083
-0.01945,0.02051,-0.04855,0.01921,0.00146,0.00104
-0.05476,0.02085,-0.08516,-0.01907,0.00123,0.00087
-0.03645,0.02143,-0.07361,-0.0061,0.00147,0.00108
-0.04659,0.02027,-0.08206,-0.01845,0.00103,0.00074
-0.00468,0.01884,-0.03692,0.02516,0.00117,0.00083
-0.16101,0.02094,-0.19392,-0.12839,0.00133,0.00096
-0.09317,0.0206,-0.12553,-0.05879,0.00142,0.00101
-0.06263,0.02078,-0.09396,-0.03021,0.00119,0.00084
-0.01309,0.02121,-0.04881,0.01896,0.00149,0.00105
0.01982,0.02243,-0.01514,0.05584,0.00155,0.0011
0.05049,0.0198,0.01644,0.08003,0.00146,0.00103
0.02327,0.0213,-0.00553,0.06053,0.00131,0.00093
-0.04023,0.02101,-0.0762,-0.00806,0.00128,0.00092
-0.06587,0.02008,-0.09967,-0.03622,0.00107,0.00076
0.01194,0.01987,-0.01949,0.04305,0.00145,0.00103
-0.03272,0.02104,-0.06212,0.00229,0.00177,0.00125
-0.03691,0.02037,-0.06857,-0.00406,0.00111,0.00079
0.10273,0.01964,0.0746,0.13513,0.00126,0.00089
-0.01762,0.0201,-0.04689,0.01629,0.0012,0.00085
0.15434,0.01927,0.12454,0.18389,0.00177,0.00125
-0.05095,0.02134,-0.08627,-0.01702,0.00164,0.00117
